x,Erfc,TS30,DTS (Fitted)
2.06,0.980301,0.980301,0.980284,
2.07,0.980774,0.980774,0.980755,
2.08,0.981237,0.981237,0.981217,
2.09,0.981691,0.981691,0.981695,
2.1,0.982136,0.982136,0.98214,
2.11,0.982571,0.982571,0.982576,
2.12,0.982997,0.982997,0.983003,
2.13,0.983414,0.983414,0.983421,
2.14,0.983823,0.983823,0.98383,
2.15,0.984222,0.984222,0.98423,
2.16,0.984614,0.984614,0.984623,
2.17,0.984997,0.984997,0.985006,
2.18,0.985371,0.985371,0.985382,
2.19,0.985738,0.985738,0.98575,
2.2,0.986097,0.986097,0.98611,
2.21,0.986447,0.986447,0.986462,
2.22,0.986791,0.986791,0.986807,
2.23,0.987126,0.987126,0.987145,
2.24,0.987455,0.987455,0.987451,
2.25,0.987776,0.987776,0.987771,
2.26,0.988089,0.988089,0.988084,
2.27,0.988396,0.988396,0.988391,
