x,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,
-3.638,-0.951352,2.2501,-4.1056,5.90844,-6.97703,6.97623,-6.04552,4.62336,-3.16358,1.95931,-1.10791,0.576856,-0.277896,0.124977,-0.05232,0.0208516,-0.00757765,0.00285652,-0.000772147,0.000426872,4.94979e-05,0.000162885,0.000130294,0.000139272,0.000136898,0.000137502,0.000137354,0.000137389,0.000137381,0.000137383,0.000137382,
-3.637,-0.950953,2.24786,-4.09911,5.89568,-6.95796,6.95318,-6.02212,4.60286,-3.14777,1.94843,-1.10113,0.573011,-0.275887,0.124007,-0.0518825,0.0206682,-0.00750434,0.00282991,-0.000762033,0.000424199,5.10541e-05,0.000163109,0.000130919,0.000139781,0.000137439,0.000138034,0.000137888,0.000137923,0.000137915,0.000137917,0.000137916,
-3.636,-0.950554,2.24562,-4.09263,5.88294,-6.93892,6.93019,-5.9988,4.58244,-3.13204,1.9376,-1.0944,0.56919,-0.273892,0.123044,-0.0514485,0.0204863,-0.0074317,0.00280357,-0.000752016,0.000421562,5.26007e-05,0.000163338,0.000131544,0.000140293,0.000137982,0.000138569,0.000138425,0.000138459,0.000138451,0.000138453,0.000138453,
-3.635,-0.950155,2.24338,-4.08616,5.87023,-6.91993,6.90728,-5.97556,4.56211,-3.11638,1.92683,-1.0877,0.565393,-0.271911,0.122088,-0.051018,0.020306,-0.00735972,0.00277748,-0.000742095,0.000418961,5.41377e-05,0.000163573,0.00013217,0.000140807,0.000138526,0.000139105,0.000138964,0.000138997,0.000138989,0.000138991,0.000138991,
-3.634,-0.949756,2.24115,-4.07969,5.85754,-6.90099,6.88444,-5.95241,4.54186,-3.1008,1.91612,-1.08105,0.561621,-0.269944,0.121139,-0.0505909,0.0201273,-0.00728839,0.00275166,-0.000732267,0.000416396,5.56654e-05,0.000163814,0.000132797,0.000141323,0.000139073,0.000139644,0.000139504,0.000139537,0.00013953,0.000139531,0.000139531,
-3.633,-0.949357,2.23891,-4.07323,5.84487,-6.8821,6.86166,-5.92934,4.5217,-3.08529,1.90547,-1.07443,0.557873,-0.26799,0.120198,-0.0501673,0.0199501,-0.0072177,0.0027261,-0.000722533,0.000413867,5.71838e-05,0.00016406,0.000133425,0.000141841,0.000139621,0.000140184,0.000140047,0.000140079,0.000140072,0.000140073,0.000140073,
-3.632,-0.948958,2.23668,-4.06678,5.83222,-6.86325,6.83895,-5.90635,4.50162,-3.06985,1.89487,-1.06785,0.554149,-0.26605,0.119263,-0.0497472,0.0197745,-0.00714766,0.00270079,-0.000712892,0.000411373,5.8693e-05,0.000164311,0.000134054,0.000142361,0.000140171,0.000140727,0.000140591,0.000140623,0.000140616,0.000140617,0.000140617,
-3.631,-0.948559,2.23445,-4.06034,5.8196,-6.84445,6.81631,-5.88345,4.48162,-3.05448,1.88432,-1.06131,0.550449,-0.264123,0.118336,-0.0493303,0.0196003,-0.00707825,0.00267574,-0.000703342,0.000408914,6.01933e-05,0.000164568,0.000134683,0.000142884,0.000140724,0.000141271,0.000141138,0.000141169,0.000141162,0.000141163,0.000141163,
-3.63,-0.94816,2.23222,-4.05391,5.807,-6.82569,6.79374,-5.86062,4.46171,-3.03919,1.87384,-1.05481,0.546772,-0.26221,0.117415,-0.0489169,0.0194277,-0.00700947,0.00265094,-0.000693882,0.00040649,6.16847e-05,0.000164831,0.000135314,0.000143409,0.000141278,0.000141818,0.000141686,0.000141717,0.00014171,0.000141711,0.000141711,
-3.629,-0.947762,2.22999,-4.04749,5.79443,-6.80698,6.77124,-5.83788,4.44188,-3.02397,1.8634,-1.04835,0.543119,-0.26031,0.116502,-0.0485068,0.0192566,-0.00694132,0.00262638,-0.000684512,0.000404099,6.31674e-05,0.000165099,0.000135946,0.000143937,0.000141834,0.000142366,0.000142236,0.000142267,0.00014226,0.000142261,0.000142261,
