x,Erfc,TS05,TS10,TS15,TS20,TS30
-0.16,0.436441,0.436441,0.436441,0.436441,0.436441,0.436441,
-0.15,0.440382,0.440382,0.440382,0.440382,0.440382,0.440382,
-0.14,0.44433,0.44433,0.44433,0.44433,0.44433,0.44433,
-0.13,0.448283,0.448283,0.448283,0.448283,0.448283,0.448283,
-0.12,0.452242,0.452242,0.452242,0.452242,0.452242,0.452242,
-0.11,0.456205,0.456205,0.456205,0.456205,0.456205,0.456205,
-0.1,0.460172,0.460172,0.460172,0.460172,0.460172,0.460172,
-0.09,0.464144,0.464144,0.464144,0.464144,0.464144,0.464144,
-0.08,0.468119,0.468119,0.468119,0.468119,0.468119,0.468119,
-0.07,0.472097,0.472097,0.472097,0.472097,0.472097,0.472097,
-0.06,0.476078,0.476078,0.476078,0.476078,0.476078,0.476078,
-0.05,0.480061,0.480061,0.480061,0.480061,0.480061,0.480061,
-0.04,0.484047,0.484047,0.484047,0.484047,0.484047,0.484047,
-0.03,0.488034,0.488034,0.488034,0.488034,0.488034,0.488034,
-0.02,0.492022,0.492022,0.492022,0.492022,0.492022,0.492022,
-0.01,0.496011,0.496011,0.496011,0.496011,0.496011,0.496011,
-1.96752e-14,0.5,0.5,0.5,0.5,0.5,0.5,
0.01,0.503989,0.503989,0.503989,0.503989,0.503989,0.503989,
0.02,0.507978,0.507978,0.507978,0.507978,0.507978,0.507978,
0.03,0.511966,0.511966,0.511966,0.511966,0.511966,0.511966,
0.04,0.515953,0.515953,0.515953,0.515953,0.515953,0.515953,
0.05,0.519939,0.519939,0.519939,0.519939,0.519939,0.519939,
0.06,0.523922,0.523922,0.523922,0.523922,0.523922,0.523922,
0.07,0.527903,0.527903,0.527903,0.527903,0.527903,0.527903,
0.08,0.531881,0.531881,0.531881,0.531881,0.531881,0.531881,
0.09,0.535856,0.535856,0.535856,0.535856,0.535856,0.535856,
0.1,0.539828,0.539828,0.539828,0.539828,0.539828,0.539828,
0.11,0.543795,0.543795,0.543795,0.543795,0.543795,0.543795,
0.12,0.547758,0.547758,0.547758,0.547758,0.547758,0.547758,
0.13,0.551717,0.551717,0.551717,0.551717,0.551717,0.551717,
0.14,0.55567,0.55567,0.55567,0.55567,0.55567,0.55567,
0.15,0.559618,0.559618,0.559618,0.559618,0.559618,0.559618,
0.16,0.563559,0.563559,0.563559,0.563559,0.563559,0.563559,
0.17,0.567495,0.567495,0.567495,0.567495,0.567495,0.567495,
0.18,0.571424,0.571424,0.571424,0.571424,0.571424,0.571424,
0.19,0.575345,0.575345,0.575345,0.575345,0.575345,0.575345,
0.2,0.57926,0.57926,0.57926,0.57926,0.57926,0.57926,
0.21,0.583166,0.583166,0.583166,0.583166,0.583166,0.583166,
0.22,0.587064,0.587064,0.587064,0.587064,0.587064,0.587064,
0.23,0.590954,0.590954,0.590954,0.590954,0.590954,0.590954,
0.24,0.594835,0.594835,0.594835,0.594835,0.594835,0.594835,
0.25,0.598706,0.598706,0.598706,0.598706,0.598706,0.598706,
0.26,0.602568,0.602568,0.602568,0.602568,0.602568,0.602568,
0.27,0.60642,0.60642,0.60642,0.60642,0.60642,0.60642,
0.28,0.610261,0.610261,0.610261,0.610261,0.610261,0.610261,
0.29,0.614092,0.614092,0.614092,0.614092,0.614092,0.614092,
0.3,0.617911,0.617911,0.617911,0.617911,0.617911,0.617911,
0.31,0.62172,0.62172,0.62172,0.62172,0.62172,0.62172,
0.32,0.625516,0.625516,0.625516,0.625516,0.625516,0.625516,
0.33,0.6293,0.6293,0.6293,0.6293,0.6293,0.6293,
0.34,0.633072,0.633072,0.633072,0.633072,0.633072,0.633072,
0.35,0.636831,0.636831,0.636831,0.636831,0.636831,0.636831,
0.36,0.640576,0.640576,0.640576,0.640576,0.640576,0.640576,
0.37,0.644309,0.644309,0.644309,0.644309,0.644309,0.644309,
0.38,0.648027,0.648027,0.648027,0.648027,0.648027,0.648027,
0.39,0.651732,0.651732,0.651732,0.651732,0.651732,0.651732,
0.4,0.655422,0.655422,0.655422,0.655422,0.655422,0.655422,
0.41,0.659097,0.659097,0.659097,0.659097,0.659097,0.659097,
0.42,0.662757,0.662757,0.662757,0.662757,0.662757,0.662757,
0.43,0.666402,0.666402,0.666402,0.666402,0.666402,0.666402,
0.44,0.670031,0.670031,0.670031,0.670031,0.670031,0.670031,
0.45,0.673645,0.673645,0.673645,0.673645,0.673645,0.673645,
0.46,0.677242,0.677242,0.677242,0.677242,0.677242,0.677242,
0.47,0.680822,0.680822,0.680822,0.680822,0.680822,0.680822,
0.48,0.684386,0.684386,0.684386,0.684386,0.684386,0.684386,
0.49,0.687933,0.687933,0.687933,0.687933,0.687933,0.687933,
0.5,0.691462,0.691462,0.691462,0.691462,0.691462,0.691462,
0.51,0.694974,0.694974,0.694974,0.694974,0.694974,0.694974,
0.52,0.698468,0.698468,0.698468,0.698468,0.698468,0.698468,
0.53,0.701944,0.701944,0.701944,0.701944,0.701944,0.701944,
0.54,0.705401,0.705401,0.705401,0.705401,0.705401,0.705401,
0.55,0.70884,0.70884,0.70884,0.70884,0.70884,0.70884,
0.56,0.71226,0.71226,0.71226,0.71226,0.71226,0.71226,
0.57,0.715661,0.715661,0.715661,0.715661,0.715661,0.715661,
0.58,0.719043,0.719043,0.719043,0.719043,0.719043,0.719043,
0.59,0.722405,0.722405,0.722405,0.722405,0.722405,0.722405,
0.6,0.725747,0.725747,0.725747,0.725747,0.725747,0.725747,
